Group,English,Romaji,Kana,Kanji
01 - Kanji 1-4,one,ichi,いち,一
,two,ni,に,二
,three,san,さん,三
,four,yon,よん,四
,five,go,ご,五
,six,roku,ろく,六
,seven,nana,なな,七
,eight,hachi,はち,八
,nine,kyuu,きゅう,九
,ten,juu,じゅう,十
,river,kawa,かわ,川
,mountain,yama,やま,山
,earth,tsuchi,つち,土
,fire,hi,ひ,火
,tree,ki,き,木
,water,mizu,みず,水
98 - The Body,mouth,kuchi,くち,口
,eye,me,め,目
,ear,mimi,みみ,耳
,nose,hana,はな,鼻
,face,kao,かお,顔
,hand,te,て,手
,foot,ashi,あし,足
,finger,yubi,ゆび,指
,head,atama,あたま,頭
,tooth,ha,は,歯
99 - Bed and Bath,pillow,makura,まくら,枕
,bed,beddo,ベッド,ベッド
,futon,futon,ふとん,布団
,blanket,moufu,もうふ,毛布
,towel,taoru,タオル,タオル
,bath,ofuro,おふろ,お風呂
,soap,sekken,せっけん,石けん
,toothbrush,haburashi,ハブラシ,歯ブラシ
,mirror,kagami,かがみ,鏡
,window,mado,まど,窓
